구분,05:30~05:59,06:00~06:29,06:30~06:59,07:00~07:29,07:30~07:59,08:00~08:29,08:30~08:59,09:00~09:29,09:30~09:59,10:00~10:29,10:30~10:59,11:00~11:29,11:30~11:59,12:00~12:29,12:30~12:59,13:00~13:29,13:30~13:59,14:00~14:29,14:30~14:59,15:00~15:29,15:30~15:59,16:00~16:29,16:30~16:59,17:00~17:29,17:30~17:59,18:00~18:29,18:30~18:59,19:00~19:29,19:30~19:59,20:00~20:29,20:30~20:59,21:00~21:29,21:30~21:59,22:00~22:29,22:30~22:59,23:00~23:29,23:30~23:59,00:00~00:29,00:30~00:59
샛강,15 ,24 ,35 ,45 ,63 ,82 ,59 ,71 ,56 ,43 ,36 ,41 ,35 ,34 ,42 ,46 ,41 ,41 ,43 ,48 ,46 ,60 ,51 ,84 ,85 ,118 ,110 ,46 ,31 ,29 ,30 ,28 ,21 ,24 ,19 ,14 ,9 ,13 ,8 
노량진,20 ,36 ,42 ,52 ,80 ,117 ,87 ,95 ,67 ,51 ,41 ,44 ,37 ,35 ,44 ,48 ,44 ,40 ,42 ,43 ,45 ,52 ,47 ,66 ,70 ,89 ,92 ,40 ,27 ,25 ,28 ,24 ,22 ,21 ,20 ,15 ,10 ,13 ,6 
노들,25 ,40 ,45 ,58 ,87 ,125 ,93 ,100 ,76 ,54 ,43 ,46 ,40 ,36 ,45 ,48 ,44 ,40 ,42 ,43 ,44 ,47 ,50 ,63 ,69 ,86 ,88 ,37 ,27 ,24 ,27 ,23 ,20 ,20 ,19 ,15 ,10 ,15 ,7 
흑석,27 ,37 ,44 ,56 ,83 ,121 ,90 ,98 ,80 ,52 ,44 ,44 ,39 ,38 ,44 ,48 ,44 ,40 ,44 ,48 ,45 ,52 ,54 ,65 ,72 ,89 ,93 ,41 ,27 ,24 ,26 ,24 ,20 ,20 ,20 ,16 ,9 ,14 ,8 
동작,13 ,29 ,32 ,54 ,83 ,122 ,100 ,96 ,75 ,38 ,32 ,29 ,27 ,26 ,29 ,33 ,34 ,30 ,30 ,32 ,31 ,33 ,38 ,50 ,60 ,65 ,82 ,36 ,25 ,21 ,23 ,20 ,17 ,17 ,13 ,10 ,6 ,13 ,7 
구반포,8 ,24 ,30 ,48 ,75 ,120 ,96 ,93 ,78 ,39 ,31 ,28 ,26 ,25 ,27 ,31 ,33 ,29 ,31 ,30 ,30 ,34 ,37 ,49 ,59 ,63 ,80 ,34 ,24 ,19 ,22 ,19 ,19 ,15 ,12 ,9 ,5 ,12 ,6 
신반포,7 ,15 ,23 ,45 ,75 ,122 ,97 ,93 ,86 ,40 ,32 ,29 ,29 ,26 ,28 ,33 ,34 ,31 ,31 ,32 ,33 ,38 ,41 ,54 ,61 ,65 ,82 ,37 ,25 ,20 ,23 ,21 ,20 ,16 ,15 ,9 ,5 ,13 ,7 
고속터미널,5 ,15 ,22 ,34 ,52 ,82 ,69 ,75 ,78 ,38 ,34 ,26 ,28 ,26 ,27 ,30 ,33 ,29 ,29 ,30 ,30 ,34 ,36 ,48 ,49 ,52 ,68 ,37 ,24 ,22 ,23 ,20 ,19 ,16 ,16 ,10 ,6 ,10 ,10 
사평,5 ,14 ,21 ,29 ,49 ,80 ,77 ,72 ,79 ,38 ,34 ,25 ,27 ,24 ,26 ,29 ,33 ,28 ,28 ,29 ,28 ,32 ,34 ,46 ,47 ,45 ,61 ,33 ,23 ,19 ,21 ,18 ,18 ,14 ,14 ,8 ,5 ,5 ,9 
신논현,4 ,15 ,21 ,31 ,53 ,87 ,83 ,73 ,82 ,46 ,35 ,27 ,28 ,24 ,27 ,30 ,34 ,28 ,28 ,28 ,29 ,33 ,36 ,40 ,43 ,44 ,55 ,34 ,24 ,20 ,21 ,20 ,20 ,17 ,17 ,11 ,8 ,7 ,12 
